"article_title","author","journal","citations","year"
"Targeting Efficiency: How well can we identify the poorest of the poor?","A Banerjee, E Duflo, R Chattopadhyay, J Shapiro","Institute for Financial Management and Research Centre for Micro Finance …, 2009","7","2009"
"Are the monitors over-monitored: Evidence from Corruption, Vigilance, and Lending in Indian Banks","A Banerjee, S Cole, E Duflo","MIMEO, MIT, 2008","7","2008"
"Bank competition in India","AV Banerjee, S Cole, E Duflo","Sixth Annual Conference on Indian Economic Policy Reform, Stanford Center …, 2005","7","2005"
"Empowerment and Efficiency: Economic Analysis of a Tenancy Reform Program in India","AV Banerjee, PJ Gertler, M Ghatak","Paper apresentado ao Seminário Internacional: Distribuição de Riqueza …, 1998","7","1998"
"Migration, Integration, and Development","AV Banerjee, AF Newman","","7","1995"
"Herd behavior and the reward for originality","AV Banerjee","Princeton University, 1989","7","1989"
"How much do existing borrowers value Microfinance? Evidence from an experiment on bundling Microcredit and insurance","A Banerjee, E Duflo, R Hornbeck","Economica 85 (340), 671-700, 2018","6","2018"
"Does microfinance foster business growth? The importance of entrepreneurial heterogeneity","A Banerjee, E Breza, E Duflo, C Kinnan","Unpublished manuscript, Mass. Inst. Technology, Cambridge, MA, 2014","6","2014"
"Microfinance as commitment savings: Evidence from the AP crisis aftermath","A Banerjee, E Breza, E Duflo, C Kinnan, K Prathap","Working Paper, 2014","6","2014"
"Response to ‘A re-examination of Banerjee and Iyer’by Iversen, Palmer-Jones and Sen","A Banerjee, L Iyer","Journal of Development Studies 49 (12), 1647-1650, 2013","6","2013"
"Nutrition, iron deficiency anemia, and the demand for iron-fortified salt: evidence from an experiment in rural Bihar","A Banerjee, S Barnhardt, E Duflo","Discoveries in the Economics of Aging, 343-384, 2013","6","2013"
"Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty, Reprint edition. ed","A Banerjee, E Duflo","PublicAffairs, New York, NY, 2012","6","2012"
"Making police reform real: The Rajasthan experiment","A Banerjee, E Duflo, D Keniston, N Singh","mimeo, Yale University, 2011","6","2011"
"Volatility and growth","A Banerjee, P Aghion","Oxford University Press, 2005","6","2005"
"Remedying education","A Banerjee, S Cole, E Duflo, L Linden","Evidence from Two Randomized Experiments in India. Cambridge, Massachusetts …, 2003","6","2003"
"Poor Economics: a radical thinking of the way to fight global poverty. 2011","A Banerjee, E Duflo","Philadelphia: PublicAffairs, 0","6",""
"Universal basic income in the developing world","A Banerjee, P Niehaus, T Suri","Annual Review of Economics 11, 959-983, 2019","5","2019"
"Unpacking a Multi-Faceted Program to Build Sustainable Income for the Very Poor","A Banerjee, D Karlan, RD Osei, H Trachtman, C Udry","National Bureau of Economic Research, 2018","5","2018"
"The Untapped math skills of working children in India: Evidence, possible explanations, and implications","AV Banerjee, S Bhattacharjee, R Chattopadhyay, AJ Ganimian","August 59, b76983238, 2017","5","2017"
"Word-of-mouth communication and social learning","A Banerjee, D Fudenberg","Levine's Working Paper Archive, 2010","5","2010"
"Growth theory through the lens of development","AV Banerjee, E Duflo","na, 2005","5","2005"
"Banking and markets in a monetary model","G Antinolfi, E Kawamura","Manuscript, 2003","5","2003"
"Currency Crises and Monetary Policy in a Credit-Constrained Economy.","P Bacchetta, P Aghion, A Banerjee","European Economic Review 45, 1121-1150, 2001","5","2001"
"Inequality and Growth: What Can the Data Say?,"" NBER Working paper no. 7793","A Banerjee, E Duflo","","5","2000"
"Do Quantity Setting Oligopolists Play the Cournot Equilibrium?","AV Banerjee, DJ Cooper","Harvard Institute of Economic Research Working Papers, 1992","5","1992"
"The role of competition in effective outsourcing: Subsidized food distribution in Indonesia","A Banerjee, R Hanna, J Kyle, B Olken, S Sumarto","Journal of Political Economy, 2017","4","2017"
"Poverty and income distribution in India","AV Banerjee, PK Bardhan, R Somanathan","juggernaut, 2017","4","2017"
"An introduction to the “Handbook of Field Experiments.”","AV Banerjee, E Duflo","Handbook of economic field experiments, 1-24, 2017","4","2017"
"Tangible information and citizen empowerment","A Banerjee, R Hanna, J Kyle, BA Olken","NBER Working Paper 20923, 2015","4","2015"
"Information is power: Identification cards and food subsidy programs in Indonesia","A Banerjee, R Hanna, J Kyle, BA Olken, S Sumarto","NBER Working Paper 20923, 2014","4","2014"
"Arm & kansrijk","AV Banerjee, E Duflo","Nieuw Amsterdam, 2012","4","2012"
"Tensor structure on smooth motives","A Banerjee","Journal of K-theory 9 (1), 57-101, 2012","4","2012"
"Marry for What? Caste and Mate Selection in Modern India","E Duflo, A Banerjee, M Ghatak, J Lafortune","eSocialSciences Working Papers, 2009","4","2009"
"The experimental approach to development economics","V Abhijit, A Banerjee, E Duflo","NBER Working Paper 14467, 2008","4","2008"
"Do firms want to borrow more? Testing credit constraints using a directed lending program. MIT working paper","A Banerjee, E Duflo, AV Banerjeet, E Dufio","","4","2008"
"Are the Monitors Over-Monitored? Evidence from Corruption and Lending in Indian Banks","A Banerjee, S Cole, E Duflo","Mimeo: MIT, 2006","4","2006"
"Globalization and all that","AV Banerjee","Understanding poverty, 85, 2006","4","2006"
"Remedying Education: Evidence from Two Randomized Experiments","AV Banerjee, S Cole, E Duflo, L Linden","in India,” NBER Working Paper, 2005","4","2005"
"Do Firms Want to Borrow More? Testing Credit Constraints Using a Directed Lending Program, Banerjee","A Banerjee, E Duflo","CEPR Discussion Papers n 4681, 2004","4","2004"
"Do Firms Want to Borrow More? Testing Credit Constraints Using a Directed Lending Program","E Duflo, AV Banerjee","Massachusetts Institute of Technology, 2004","4","2004"
"Capital flows, output volatility and financial crises in emerging markets","P Aghion, P Bacchetta, A Banerjee","Governance, Equity and Global Markets–Proceedings of the Annual Bank …, 1999","4","1999"
"Market Imperfections, Communities, and the Organization of Production: An Empirical Analysis of Tirupur’s Garment-Export Network","A Banerjee, K Munshi","Department of Economics, MIT, Cambridge, Mass, 1999","4","1999"
"Information as an incentive: Experimental evidence from delhi","A Banerjee, N Enevoldsen, R Pande, M Walton","August, 2018","3","2018"
"(Measured) Profit is Not Welfare: Evidence from an Experiment on Bundling Microcredit and Insurance","AV Banerjee, E Duflo, R Hornbeck","CEPR Discussion Paper No. DP10146, 2014","3","2014"
"Radjasthan police performence and perception intervention","A Banerjee, R Chattopadhyay, E Duflo, D Keniston","Working paper J-Pal, 2009","3","2009"
"The Miracle of","A Banerjee, E Duflo, R Glennerster, C Kinnan","","3","2009"
"Amyloid precursor protein neurotrophic properties as a target to cure Alzheimer’s disease","A Delacourte","European Neurological Disease, 29-30, 2006","3","2006"
"Handbook of Economic Growth, Vol. 1A","A Banerjee, E Duflo","Elsevier BV, 2005","3","2005"
"New Directions in Development Economics: Theory or Empirics? A Symposium in Economic and Political Weekly","A Banerjee, P Bardhan, K Basu","","3","2005"
"Volatility, R&D and growth","P Aghion, M Angeletos, A Banerjee, K Manova","mimeo, Harvard University, 2004","3","2004"
"Comments and Discussion","J Williamson, AV Banerjee","Brookings Trade Forum 2004 (1), 72-78, 2004","3","2004"
"Comment on the Paper by Stephan Haggard","AV Banerjee","Economic Policy Reform: The Second Stage, 57-60, 2000","3","2000"
"C Kinnan (2010),‘The Miracle of Microfinance? Evidence from a Randomized Evaluation’","E Duflo, A Banerjee, R Glennerster","NBER, 0","3",""
"Entertainment, Education, and Attitudes Toward Domestic Violence","A Banerjee, EL Ferrara, V Orozco","AEA Papers and Proceedings 109, 133-37, 2019","2","2019"
"Private Outsourcing and Competition: Subsidized Food Distribution in Indonesia","A Banerjee, R Hanna, J Kyle, BA Olken, S Sumarto","Journal of Political Economy 127 (1), 101-137, 2019","2","2019"
"How important are matching frictions in the labour market? experimental & non-experimental evidence from a large indian firm","A Banerjee, G Chiplunkar","mimeo, Yale University, 2018","2","2018"
"Contracting Out the Last-Mile of Service Delivery: Subsidized Food Distribution in Indonesia","AV Banerjee, R Hanna, J Kyle, BA Olken, S Sumarto","HKS Working Paper No. RWP16-001, 2016","2","2016"
"Network structure and the aggregation of information: Theory and evidence from Indonesia","RN Hanna, V Alatas, A Banerjee, AG Chandrasekhar, BA Olken","HKS Faculty Research Working Paper Series, 2012","2","2012"
"Computer-assisted learning: Evidence from a randomized experiment","A Banerjee, E Duflo, L Linden","Framed Field Experiments, 2011","2","2011"
"The (not so simple) economics of lending to the poor","A Banerjee, E Duflo","Massachusetts Institute of Technology, Cambridge, MA. http://ww w …, 2011","2","2011"
"why fighting poverty is hard","AV Banerjee","unpublished, mIT (mimeo), 2008","2","2008"
"Aging and death under a dollar a day","E Duflo, AV Banerjee","National Bureau of Economic Research, 2007","2","2007"
"Public Action for Public Goods","R Somanathan, A Banerjee, L Iyer","National Bureau of Economic Research, 2007","2","2007"
"Environmental equity in Michigan","A Banerjee, BD Solomon","Pennsylvania Geographer 40 (2), 82-100, 2002","2","2002"
"Calcutta","R Chattopadhyay, E Duflo, WTD Acemoglu, A Banerjee, MG Dastidar, ...","","2","2001"
"‘Health Care Delivery and Health Status in Udaipur District, Rajasthan","A Banerjee, A Deaton, E Duflo","Research Proposal. World Bank, South Asia Region, Washington, DC, 2001","2","2001"
"Reputation effects and the limits of contracting: A study of the Indiam software industry. Department of Economics, Massachussetts Institute of Technology","AV Banerjee, E Duflo","Working Paper, 2000","2","2000"
"Empowerment and efficiency","A BANERJEE, M GATHAK","Paper apresentado ao Seminário Internacional: Distribuição de Riqueza …, 1998","2","1998"
"A Walrasian Theory of Money and Barter","E Maskin, A Banerjee","Quarterly Journal of Economics 111 (4), 1996","2","1996"
"Can Microfinance Unlock a Poverty Trap for Some Entrepreneurs?","A Banerjee, E Breza, E Duflo, C Kinnan","National Bureau of Economic Research Working Paper Series, 2019","1","2019"
"The challenges of universal health insurance in developing countries: Evidence from a large-scale randomized experiment in Indonesia","A Banerjee, A Finkelstein, R Hanna, BA Olken, A Ornaghi, S Sumarto","National Bureau of Economic Research Working Paper Series, 2019","1","2019"
"Growing Cleavages in India?","A Banerjee, A Gethin, T Piketty","Economic & Political Weekly 54 (11), 35, 2019","1","2019"
"The (Lack of) Distortionary Effects of Proxy-Means Tests: Results from a Nationwide Experiment in Indonesia","A Banerjee, R Hanna, BA Olken, S Sumarto","National Bureau of Economic Research, 2018","1","2018"
""" The private sector is much more likely to misuse Aadhar than the government.""-Abhijit Banerjee","A Tiwari, A Banerjee","South Asia@ LSE, 2018","1","2018"
"On numerical equivalence for algebraic cobordism","A Banerjee, J Park","Journal of Pure and Applied Algebra 220 (1), 435-464, 2016","1","2016"
"Debunking the stereotype of the lazy welfare recipient","A Banerjee, R Hanna, G Kreindler, BA Olken","CID Working Papers, 2015","1","2015"
"American Economic Journal","A Banerjee, D Karlan, J Zinman, E Duflo, R Glennerster, C Kinnan, ...","Applied Economics 7 (1), 2015, 2015","1","2015"
"Fourier-Mukai transformation on algebraic cobordism","A Banerjee, T Hudson","arXiv preprint arXiv:1311.4039, 2013","1","2013"
"The Risk of Asking: Being Surveyed Can Affect Later Behavior","AP Zwane, J Zinman, E Van Dusen, W Pariente, C Null, E Miguel, ...","Proceedings of the National Academy of Sciences of the United States of …, 2011","1","2011"
"Ac-susceptibility study in rare earth substituted magnetite ferrofluids","RV Upadhyay, K Parekh, A Banerjee, K Kumar","Physics Procedia 9, 32-35, 2010","1","2010"
"Identifying the Poor: Social Networks and the Aggregation of Information","V Alatas, A Banerjee, AG Chandrasekhar, B Olken, R Hanna","","1","2010"
"Marry for What: Caste and Mate Selection in Modern India","J Lafortune, A Banerjee, E Duflo, M Ghatak","National Bureau of Economic Research, 2009","1","2009"
"Pitfalls of Participatory Programs: Evidence from a Randomized Evaluation in Education in India. NBER Working Paper No. 14311.","A Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani","National Bureau of Economic Research, 2008","1","2008"
"Pitfalls of Participatory Programs: Evidence from","AV Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani","","1","2008"
"The experimental approach to development economics","E Duflo, AV Banerjee","Centre for Economic Policy Research, 2008","1","2008"
"UNIT ROOT AND COINTEGRATION TESTING: GUEST EDITORS'INTRODUCTION","H Lutkepohl, PMM Rodrigues, NS Balke, TB Fomby, A Banerjee, GEP Box, ...","Econometric Theory 24 (1), 1, 2008","1","2008"
"Bank financing in India","SA Cole, A Banerjee, E Duflo","","1","2005"
"Social Securityr","AA Aaron, A Banerjee, N Barr, O Blanchard, J Brown, C Coile, D Costa, ...","The American Economic Review 94 (1), 1-24, 2004","1","2004"
"Aassve, Arnestein and Bruno Arpino,“Dynamic Multi-Level Analysis of","D Acemoglu, S Johnson, JA Robinson, J Akin, D Guilkey, B Popkin, ...","Economic Review 91, 1369-1401, 2001","1","2001"
"Andrew F. Newman","AV Banerjee","The Journal of Political Economy 101 (2), 274-298, 1993","1","1993"
"Peer group externalities and learning incentives: a theory of nerd behavior","T Besley, A Banerjee","","1","1990"
"Essays on information economics.","AV Banerjee","","1","1990"
"Public Information is an Incentive for Politicians: Experimental Evidence from Delhi Elections","A Banerjee, N Enevoldsen, R Pande, M Walton","","","2019"
"Replication data for: Targeting the Poor: Evidence from a Field Experiment in Indonesia","V Alatas, A Banerjee, R Hanna, BA Olken, J Tobias","Inter-university Consortium for Political and Social Research (ICPSR), 2019","","2019"
"‘Beating the Odds’ versus ‘Changing the Odds’: Poverty, Resilience, and Family Policy.","S Rajasekaran, J Reyes, J Pan, JF Zaff, AE Donlan, M Ungar, M Ungar, ...","The Victoria Institute for Education, Diversity and Lifelong Learning 27 (4 …, 2019","","2019"
"How Do Norms Travel? Theorizing International Women’s Rights in Transnational Perspective","P Pospieszna, P Pospieszna, H Abs, R Veldhuis, A Acharya, A Acharya, ...","Democracy Assistance Bypassing Governments in Recipient Countries …, 2019","","2019"
"Access to Credit and Productivity","A Banerjee, E Breza, R Townsend, D Vera-Cossio","","","2019"
"Leave Room for Growth","E Macchiavello, V Acharya, I Hasan, A Saunders, R Adams, H Mehran, ...","Microfinance and Financial Inclusion: The Challenge of Regulating …, 2018","","2018"
"Consumer perceptions of price, quality, and value: A means-end model and synthesis of evidence","P Lillrank, B Abel-Smith, D Acemoglu, JA Robinson, J Aherne, A Whelton, ...","The Logics of Healthcare: The Professional’s Guide to Health System Science …, 2018","","2018"
"Assessing Development Financial Institutions: A Public Interest Analysis","B Balkenhol, GA Akerlof, DAH Alamgir, B Armendariz, J Morduch, ...","Microfinance: Research, Debates, Policy 84 (3), 1-6, 2018","","2018"
"Russia’s Phony Capitalism","R Das, R Das, R Das, R Das, R Das, R Das, B Bhattacharya, S Yechury, ...","Neoliberalism and the Transforming Left in India: A Contradictory Manifesto …, 2018","","2018"
"DP12653 Unpacking a Multi-Faceted Program to Build Sustainable Income for the Very Poor","A Banerjee, DS Karlan, R Osei, H Trachtman, C Udry","","","2018"
"Eco-labeling for energy efficiency and Sustainability","A Banerjee, BD Solomon","Labelling Strategies in Environmental Policy, 439, 2017","","2017"
"Deal with the Devil: The Successes and Limitations of Bureaucratic Reform in India","TS Rabie, SN Towfighian, C Clark, M Cammett, AV Banerjee, E Duflo, ...","Economic Research and International Relations Area 6 (9), 99-109, 2017","","2017"
"Philip Armour","A Banerjee","Insights in the Economics of Aging, 377, 2017","","2017"
"Movies, Margins, and Marketing","A Banerjee, S Barnhardt, E Duflo","Insights in the Economics of Aging, 285, 2017","","2017"
"Analysis and Forecast on the Potential of China’s Economic Growth","C Bai, Q Zhang, X Fei, J Zhao, M Wang, M Abramovitz, D Aigner, ...","A Research on China’s Economic Growth Potential 46 (1), 1-3, 2017","","2017"
"DP11857 Contracting out the Last-Mile of Service Delivery: Subsidized Food Distribution in Indonesia","A Banerjee, R Hanna, J Kyle, B Olken, S Sumarto","","","2017"
"Featured author","T Machover","Future, 2017","","2017"
"Education Asymmetry: Brain v. Brawn in rural Communities","A Banerjee, E Duflo","","","2017"
"DP11761 E-governance, Accountability, and Leakage in Public Programs: Experimental Evidence from a Financial Management Reform in India","A Banerjee, E Duflo, C Imbert, S Mathew, R Pande","","","2017"
"Essays in political economy","A Ornaghi, AV Banerjee, A Finkelstein, R Hanna, BA Olken, S Sumarto","Massachusetts Institute of Technology, 2017","","2017"
"DP11762 From Proof of Concept to Scalable Policies: Challenges and Solutions, with an Application","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukerji, M Shotland, ...","","","2017"
"Bagachwa, M., 393m. 56 Bah, T., 181 Bailey, M., 386n37, 386n28","FB Aboagye, M Adjei, P Aghion, C Agossou, D Amoussou-Yeye, P Artigue, ...","African Successes, Volume I: Government and Institutions 1, 435, 2016","","2016"
"DP11530 Mainstreaming an Effective Intervention: Evidence from Randomized Evaluations of"" Teaching at the Right Level"" in India","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukerji, M Shotland, ...","","","2016"
"DP11193 Can Iron-Fortified Salt Control Anemia? Evidence from Two Experiments in Rural Bihar","A Banerjee, S Barnhardt, E Duflo","","","2016"
"Impacto de la política social y ambiental en el consumo ante eventos climáticos extremos de precipitación en México","DA Román Cedillo","CATIE, Turrialba (Costa Rica), 2016","","2016"
"The Long and Hidden History of the US in Somalia","R Abdulgani, FB Aboagye, I Abu Bakar, D Acemoglu, J Robinson, ...","The Economist 7 (1), 93-105, 2016","","2016"
"Reform the International Monetary System","R Abdelal, MR Abouharb, D Cingranelli, M Abramovitz, M Abramovitz, ...","Global Finance and Development 46 (2), 1-18, 2015","","2015"
"What Have We Learned from OLPC Pilots to Date?","T Read, R Abel, L Humes, L Mattson, M McKell, K Riley, C Smythe, ...","Linpico Sarl for the Asian Development Bank 53 (5), 231-266, 2015","","2015"
"Hiểu nghèo thoát nghèo","AV Banerjee, E Duflo","Trẻ, 2015","","2015"
"MIT PLACEMENT OFFICER","E Duflo, ME Konomi, MT Dattilo, A Banerjee, B Olken","Macroeconomics (Undergraduate), 2015","","2015"
"Featured author","H Mendelson","Communications, 2014","","2014"
"DP10146 (Measured) Profit is Not Welfare: Evidence from an Experiment on Bundling Microcredit and Insurance","A Banerjee, E Duflo, R Hornbeck","","","2014"
"Page numbers followed by the letter f or t refer to figures or tables, respectively. Adam, S., 227, 228, 237, 250, 252 Adams, P., 164, 188, 188n2, 189, 189n4, 190, 191,193,194 …","S Agarwal, L Allen, PD Allison, D Almond, M Andersson, C Anguelov, ...","Discoveries in the Economics of Aging, 449, 2014","","2014"
"DP10120 Gossip: Identifying Central Individuals in a Social Network","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","","","2014"
"August 2014","A Banerjee, E Duflo, R Hornbeck","","","2014"
"Affidato, M. 143 Adelman, S. 104 affirmative action policies in South Africa 386 Africa, labour market (s) comparisons","K Ajayi, M Akbulut-Yuksel, C Andrews, J Annan, A Appiah-Kubi, F Aragon, ...","Youth and Employment in Sub-Saharan Africa: Working but Poor 56, 398, 2014","","2014"
"DP9997 Under the Thumb of History? Political Institutions and the Scope for Action","A Banerjee, E Duflo","","","2014"
"Profit is Not Welfare: Evidence from an Experiment on Bundling Credit and Insurance","A Banerjee, E Duflo, R Hornbeck","J-Pal Working Paper, MIT, Cambridge MA, 2014","","2014"
"Beijer Institute of Ecological Economics v, vii, 270 n. 1 Bell, Clive 354 Bentham, Jeremy 97","BS Bernanke, I Ahmad, S Ahmed, H Ahsan, Y Alagh, S Alam, A Alberini, ...","Environment and Development Economics: Essays in Honour of Sir Partha …, 2014","","2014"
"DP9935 Aggregate Fertility and Household Savings: A General Equilibrium Analysis using Micro Data","A Banerjee, X Meng, T Porzio, N Qian","","","2014"
"Targeting the poor","V Alatas, A Banerjee, R Hanna, B Olken, M Wai-poi, R Purnamasari","","","2014"
"19 EDITOR’S JOURNAL","A Banerjee, E Duflo","","","2014"
"MIT PLACEMENT OFFICER","B Olken, MB Shuster, E Duflo, D Donaldson, A Banerjee","Public Policy, 2014","","2014"
"14.773: Political Economy of Institutions and Development (First Part)","D Acemoglu, A Banerjee","","","2014"
"Financial Capability and the Poor: Are We Missing the Mark?","T Abdel Aziz, G Berg, M Abreu, V Mendes, D Acemoglu, S Johnson, ...","World Bank 10 (5), 151-204, 2013","","2013"
"Caballero, RJ, 240, 241, 243n6, 254 Campbell, JY, 15, 19n1, 27n6, 46,166 n12, 180, 313 Canner, G., 390 Caplin, A., 224nl3","A Anas, A Ashcraft, AV Banerjee, ES Belsky, I Ben-David, N Bhutta, ...","Housing and the Financial Crisis, 421, 2013","","2013"
"H.-K. Chao et al.(eds.), Mechanism and Causality in Biology and Economics, History, Philosophy and Theory of the Life Sciences 3, DOI 10.1007/978-94-007-2454-9,© Springer …","J Abramson, A Aftalion, G Akerlof, J Aldrich, GE Allen, A Ampere, ...","Mechanism and Causality in Biology and Economics 171 (176), 247, 2013","","2013"
"DP9437 The miracle of microfinance? Evidence from a randomized evaluation","A Banerjee, E Duflo, R Glennerster, C Kinnan","","","2013"
"Does Elite Capture Matter? Local Elites and Targeted Welfare Programs in Indonesia","R Hanna, V Alatas, A Banerjee, BA Olken, R Purnamasari, M Wai-Poi","CID Working Papers, 2013","","2013"
"Does Elite Capture Matter? Local Elites and Targeted Welfare Programs in Indonesia","A Banerjee, MITR Hanna","","","2013"
"Blades, D., 15 Blanchard, O., 175 Bo, Z., 42 Bohl, M., 236 Bortolotti, B., 120","D Acemoglu, P Aghion, J Aharony, A Alford, WT Allen, G Allesandria, ...","Capitalizing China, 377, 2012","","2012"
"Center for International Development","R Hanna, V Alatas, A Banerjee, B Olken, R Purnamasari, M Wai-Poi","","","2012"
"Marriage in modern India: does caste still matter for mate selection?","M Ghatak, A Banerjee, E Duflo, J Lafortune","South Asia@ LSE, 2012","","2012"
"DP8874 On the Road: Access to Transportation Infrastructure and Economic Growth in China","A Banerjee, E Duflo, N Qian","","","2012"
"DOCUMENTO DE TRABAJO","A Banerjee, E Duflo, M Ghatak, J Lafortune","Santiago, 2012","","2012"
"DP8869 Can Institutions Be Reformed from Within? Evidence from a Randomized Experiment with the Rajasthan Police","A Banerjee, R Chattopadhyay, E Duflo, D Keniston, N Singh","","","2012"
"Les classes moyennes dans les pays émergents","M Pezzini, AV BANERJEE, E DUFLO, C JUMA, JL ROCCA","Problèmes économiques (Paris), 5-43, 2012","","2012"
"Qu'est-ce que la classe moyenne dans les pays du Sud? Journal of Economic Perspectives","AV Banerjee, E Duflo","Problemes Economiques, 10, 2012","","2012"
"Page numbers followed by the letter f or trefer to figures or tables, respectively. Aarts, L., 238n1 Adams, PM, 32, 86, 268, 295t, 317 Adda, J., 269n2, 282","NE Adler, PC Albertsen, R Alessie, M Angelucci, D Audretsch, ...","Investigations in the Economics of Aging, 381, 2012","","2012"
"DP8770 The Diffusion of Microfinance","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","","","2012"
"Corruption","RN Hanna, S Mullainathan, A Banerjee","Harvard Kennedy School of Government Scholarly Articles, 2012","","2012"
"開発経済学 Development Economics いまも 「飢餓」 に苦しむ多くの人たちを救うことはできるのでしょうか?(「新しい経済学」 へようこそ.)--(NEW ECONOMICS 新しい経済学)","A Banerjee, E Duflo","クーリエ・ジャポン 7 (12), 28-31, 2011","","2011"
"Tensor functor from Smooth Motives to motives over a base","A Banerjee","arXiv preprint arXiv:1111.3718, 2011","","2011"
"The End of Hunger [with REPLY]","D RIEFF, CO GRADA, A BANERJEE, E DUFLO","Foreign Policy, 10-11, 2011","","2011"
"Development that works, March 31, 2011","D Balfour, AV Banerjee, A Bhattacharya, L Brody, G Epstein, ...","Boston University Frederick S. Pardee Center for the Study of the Longer …, 2011","","2011"
"Calis, JCJ, 347 Campbell, JY, 97 Case, A., 351, 352, 357n3, 370n8 Cattell, RB, 211","H Aaron, JT Abaluck, JH Abbring, J Ameriks, C Azzi, PB Bach, LC Baker, ...","Explorations in the Economics of Aging, 381, 2011","","2011"
"On the Road","A Banerjee, E Duflo, N Qian","","","2010"
"Aleya Banerjee","A Banerjee, A Banerjee, A Banerjee","BMJ 341, c6680, 2010","","2010"
"Dr. Mira Sen (Banerjee)","A Banerjee","Indian journal of plastic surgery: official publication of the Association …, 2010","","2010"
"DP7828 The Shape of Temptation: Implications for the Economic Lives of the Poor","A Banerjee, S Mullainathan","","","2010"
"DP7754 Giving Credit Where it is Due","A Banerjee, E Duflo","","","2010"
"DP7300 Marry for What? Caste and Mate Selection in Modern India","A Banerjee, E Duflo, M Ghatak, J Lafortune","","","2009"
"Bilan/Essai-The experimental approach to development economics","AV Banerjee, E Duflo","Revue d'Economie Politique, 691, 2009","","2009"
"DP7037 The Experimental Approach to Development Economics","A Banerjee, E Duflo","","","2008"
"household surveys (LSMS) 129, 147 (n18) income growth rates (pro-poor, 1990s) 129 non-income achievements by","A Bagchi, A Banerjee, G Becker, J Behrman, G Berg, E Borghi, ...","Achieving the Millennium Development Goals 33, 230, 2008","","2008"
"DP6781 Pitfalls of Participatory Programs: Evidence from a Randomized Evaluation in Education in India","A Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani","","","2008"
"Source of heavy metals in sediments of the Port Jackson estuary, Australia.","PK Mahish, KL Tiwari, SK Jadhav, G Agoramoorthy, FA Chen, MJ Hsu, ...","Research Journal of Environmental Sciences 9 (4), 320-326, 2008","","2008"
"Why has unemployment risen in the New South Africa? 1","S Galiani, J Levinsohn, Z McLaren, I Woolard, A Banerjee","Blackwell Publishing Ltd, 2008","","2008"
"Workers Remittances: An Important and Stable Source of External Development Finance.","D E. Adenutsi, CRK Ahortor, P Acosta, C Calderon, P Fajnzylber, H Lopez, ...","Journal of Applied Sciences 10 (4), pp: 45-71-pp: 45-71, 2008","","2008"
"Book Review of"" Understanding Poverty""","L Squire","Economic Development and Cultural Change 56, 711-713, 2008","","2008"
"Migration and development in Mexican communities","PA Schnabl","Massachusetts Institute of Technology, 2008","","2008"
"por qué es tan difícil combatir la pobreza","AV Banerjee","Fronteras del conocimiento, 347-362, 2008","","2008"
"How to Spend $50 Billion to Make the World a Better Place","A Banerjee, A Deaton, E Duflo","Journal of Economic Literature 45 (4), 1044-1049, 2007","","2007"
"DP6613 What is Middle Class about the Middle Classes Around the World?","A Banerjee, E Duflo","","","2007"
"Impact evaluation of Pratham’s “Learning to Read” and “Reading to Learn” interventions","A Banerjee, R Banerji, M Chavan, E Duflo, M Walton","","","2007"
"Udaipur Health Study","A Banerjee, A Deaton, E Duflo","","","2007"
"Balsakhi","A Banerjee, S Cole, E Duflo, L Linden","","","2007"
"DP6381 Parochial Politics: Ethnic Preferences and Politician Corruption","A Banerjee, R Pande","","","2007"
"DP6154 Public Action for Public Goods","A Banerjee, L Iyer, R Somanathan","","","2007"
"DP6140 Long Run Impacts of Income Shocks: Wine and Phylloxera in 19th Century France","A Banerjee, E Duflo, G Postel-Vinay, T Watts","","","2007"
"Is hungary ready for inflation targeting?","MH Berument, A Sahin, B Saracoglu, NS Balke, MA Wynne, BS Bernanke, ...","Journal of Applied Sciences 9 (12), 19-36, 2007","","2007"
"Consumption and remittances in migrant households: Toward a productive use of remittances.","CRK Ahortor, DE Adenutsi, PA Acosta, EKK Lartey, FS Mandelman, ...","Journal of Applied Sciences 9 (18), 155-173, 2007","","2007"
"How to Spend (USD) 50 Billion to Make the World a Better Place","B Lomborg, A Banerjee","Journal of Economic Literature 45 (4), 1044-1045, 2007","","2007"
"MIT Placement Officer","NL Rose, MP Hoagland, B Holmstrom, I Werning, J Gruber, P Diamond, ...","Instructor, 2007","","2007"
"Long run health impacts of income shocks: wine and Phylloxera in 19th century France Abhijit Banerjee...[et al.].","AV Banerjee","Cambridge, MA: Massachusetts Institute of Technology, Dept. of Economics, 2007","","2007"
"Essays on coordination, cooperation, and learning","SG Chassang","Massachusetts Institute of Technology, 2007","","2007"
"DP5968 The Economic Lives of the Poor","A Banerjee, E Duflo","","","2006"
"Center for International Development","A Banerjee, S Galiani, J Levinsohn, I Woolard","","","2006"
